t,OIOpen,OIHigh,OILow,OIClose,open,high,low,close,Volume,bv,tx,btx,PFopen,PFhigh,PFlow,PFclose,LL,LS
2023-06-17 01:12:00,105213.673,105213.673,105213.486,105213.486,26291.0,26300.0,26290.9,26300.0,106.10900000000001,73.98700000000001,390.0,241.0,0.008761,0.008761,0.008761,0.008761,0,0
2023-06-17 01:13:00,105199.275,105206.534,105199.275,105206.534,26300.0,26300.0,26296.3,26296.4,98.86800000000004,63.01700000000001,337.0,174.0,0.008761,0.008761,0.008761,0.008761,0,0
2023-06-17 01:14:00,105206.022,105206.022,105200.364,105200.364,26296.3,26299.4,26296.3,26299.3,33.989999999999995,29.580000000000002,263.0,195.0,0.008721,0.008721,0.008721,0.008721,0,0
2023-06-17 01:15:00,105190.539,105210.468,105190.539,105210.468,26299.4,26305.0,26299.3,26303.1,135.78099999999998,107.97200000000007,443.0,288.0,0.008653,0.008653,0.008653,0.008653,0,0
2023-06-17 01:16:00,105209.331,105226.432,105209.331,105226.432,26303.0,26303.1,26292.7,26296.8,206.7540000000001,77.19500000000002,535.0,251.0,0.008653,0.008653,0.008603,0.008603,0,0
2023-06-17 01:17:00,105236.533,105236.533,105234.42,105234.42,26296.9,26298.6,26295.0,26295.8,47.77499999999999,16.515,273.0,136.0,0.008582,0.008582,0.008582,0.008582,0,0
2023-06-17 01:18:00,105230.756,105230.756,105217.841,105217.841,26295.9,26316.2,26295.9,26312.8,356.733,289.566,597.0,411.0,0.008582,0.008582,0.008582,0.008582,0,0
2023-06-17 01:19:00,105048.451,105068.377,105048.451,105068.377,26312.8,26318.9,26308.1,26318.8,224.9860000000001,180.10500000000016,615.0,398.0,0.008556,0.008556,0.008556,0.008556,0.0,0.008
2023-06-17 01:20:00,105056.94,105064.921,105056.94,105064.921,26318.9,26318.9,26310.9,26310.9,46.877999999999986,24.67900000000001,298.0,117.0,0.008532,0.008532,0.008532,0.008532,0,0
2023-06-17 01:21:00,105066.118,105066.118,105064.661,105064.661,26310.9,26310.9,26306.0,26306.0,65.40299999999999,28.924,258.0,113.0,0.008524,0.008524,0.008524,0.008524,0,0
2023-06-17 01:22:00,105065.241,105065.241,105060.324,105060.324,26306.1,26308.5,26304.0,26308.4,65.04299999999998,42.15399999999999,271.0,155.0,0.008454,0.008454,0.008454,0.008454,0,0
2023-06-17 01:23:00,105066.365,105066.505,105066.365,105066.505,26308.5,26308.5,26304.8,26305.7,41.771,24.369999999999997,198.0,104.0,0.008454,0.008454,0.008454,0.008454,0,0
2023-06-17 01:24:00,105054.907,105054.907,105052.471,105052.471,26305.7,26305.7,26305.6,26305.7,18.933000000000003,12.202000000000002,185.0,118.0,0.008383,0.008383,0.008383,0.008383,0,0
2023-06-17 01:25:00,105049.775,105049.775,105048.033,105048.033,26305.6,26305.7,26305.6,26305.7,20.38,9.886999999999997,179.0,120.0,0.008298,0.008298,0.008298,0.008298,0,0
2023-06-17 01:26:00,105048.771,105048.771,105044.797,105044.797,26305.6,26309.8,26305.6,26309.8,43.611,41.211999999999996,215.0,166.0,0.008208,0.008208,0.008208,0.008208,0,0
2023-06-17 01:27:00,105039.421,105039.421,105021.63,105021.63,26309.7,26316.1,26308.6,26316.1,85.839,70.916,267.0,200.0,0.008208,0.008208,0.008208,0.008208,0,0
2023-06-17 01:28:00,104996.553,104996.553,104991.84,104991.84,26316.1,26327.4,26312.1,26327.3,152.84699999999995,111.71800000000002,445.0,306.0,0.008162,0.008162,0.008162,0.008162,0,0
2023-06-17 01:29:00,104972.467,104980.663,104972.467,104980.663,26327.3,26327.4,26321.7,26321.8,75.99500000000002,24.40599999999999,290.0,102.0,0.008142,0.008142,0.008142,0.008142,0,0
2023-06-17 01:30:00,104981.215,104981.215,104977.561,104977.561,26321.7,26321.8,26317.5,26317.6,54.183,15.012000000000002,286.0,107.0,0.008167,0.008167,0.008167,0.008167,0,0
